Date,Location,PM2.5 (μg/m³),PM10 (μg/m³),O3 (ppm),CO (ppm),SO2 (ppm),NO2 (ppm),AQI,Category,Monitoring Station,Station Type,Operational Status
2023-01-01,"Pedu, Central, Ghana",198.64364528018365,326.11212977273624,219.90003216678696,7.800480870400435,16.47308960810617,117.78720451250958,102,Unhealthy for Sensitive Groups,Station 3,Suburban,Active
2023-01-02,"Bakaano, Central, Ghana",398.64768288977683,475.26552629310174,197.59840648193008,4.716263651952617,42.98312575130026,104.1310707468223,435,Hazardous,Station 3,Suburban,Active
2023-01-03,"Bakaano, Central, Ghana",74.95871367438689,300.32553327417793,279.4664742928443,2.2748160369354,28.725769487706764,148.4402018242265,348,Hazardous,Station 1,Suburban,Active
2023-01-04,"Bakaano, Central, Ghana",114.62569761632075,371.7969580882799,246.29430518974226,1.661849996097492,73.6794568710197,101.94710200078742,270,Very Unhealthy,Station 2,Rural,Active
2023-01-05,"Augusco, Central, Ghana",361.12628419653316,253.13302974760137,169.9815776716389,3.327294765103791,45.341623062426805,84.48915800617583,106,Unhealthy for Sensitive Groups,Station 3,Rural,Active
2023-01-06,"Augusco, Central, Ghana",360.01826827303717,317.0520156881657,197.10914947023218,9.399243728857089,98.9279945106385,79.61743564724617,71,Moderate,Station 1,Suburban,Active
2023-01-07,"Augusco, Central, Ghana",320.57381644264865,35.46610806688671,269.5159399752105,3.4302671259002437,5.474498225959512,5.289380519533493,188,Unhealthy,Station 1,Rural,Active
2023-01-08,"Bakaano, Central, Ghana",346.97422223355,127.19579042092349,119.85563537608044,9.881240759546353,35.50152661362467,67.11144033933142,20,Good,Station 3,Rural,Active
2023-01-09,"Pedu, Central, Ghana",271.3622216737981,180.92654660256935,98.03841175733321,4.852304557653562,48.19001671099774,195.20403150489884,102,Unhealthy for Sensitive Groups,Station 2,Suburban,Active
2023-01-10,"Bakaano, Central, Ghana",125.89952945347638,236.2466775032568,3.2433250905589017,1.7916391829015088,50.31335547483198,174.71111524541777,121,Unhealthy for Sensitive Groups,Station 2,Rural,Active
2023-01-11,"Bakaano, Central, Ghana",172.84799675195973,22.824372751191866,247.96532225743928,8.911400917935094,31.593582238563677,65.87561340684354,466,Hazardous,Station 2,Rural,Active
2023-01-12,"Pedu, Central, Ghana",90.79885840071283,70.01204877665884,240.29421012100946,4.603553731348269,72.9240249097568,117.55908101327444,214,Very Unhealthy,Station 2,Rural,Active
2023-01-13,"Bakaano, Central, Ghana",454.2252806668142,138.4071538956529,31.336355430045415,7.0967134350452445,87.47470734889747,169.4593491070988,330,Hazardous,Station 3,Suburban,Active
2023-01-14,"Bakaano, Central, Ghana",291.69589738306024,485.7663454505253,173.05721433981006,9.837115832091518,93.8719301977863,88.25486735001374,458,Hazardous,Station 3,Suburban,Active
2023-01-15,"Pedu, Central, Ghana",200.42570838181996,165.67350355152539,139.19450945006622,0.50175350319974,80.50933767995262,3.591572750030192,87,Moderate,Station 2,Suburban,Active
2023-01-16,"Pedu, Central, Ghana",231.00290182206635,241.02052905604125,35.61272865273344,0.9669455978756714,85.05801973065994,14.902092363728014,372,Hazardous,Station 3,Rural,Active
2023-01-17,"Bakaano, Central, Ghana",473.64166980590767,98.04885636919647,294.17046811821706,7.204567414627562,55.05453006199955,102.07854426974133,99,Moderate,Station 2,Suburban,Active
2023-01-18,"Pedu, Central, Ghana",76.6757015580401,305.3900355378841,64.40876623900664,2.8182500329547198,82.58882264268146,193.88787513517568,359,Hazardous,Station 2,Suburban,Active
2023-01-19,"Augusco, Central, Ghana",293.1149160083986,140.34160775798716,20.170254027168344,1.8430139695009906,30.350390914795224,138.64190844377356,151,Unhealthy,Station 2,Rural,Active
2023-01-20,"Bakaano, Central, Ghana",252.944339442233,103.4962892192134,178.45421385057287,0.39361879819729495,39.84787621092144,14.183238287713905,130,Unhealthy for Sensitive Groups,Station 2,Rural,Active
2023-01-21,"Augusco, Central, Ghana",305.7271177173239,258.2863142229895,221.6600031399098,0.21846711986201806,31.69130138185443,37.872175158372556,149,Unhealthy for Sensitive Groups,Station 1,Suburban,Active
2023-01-22,"Augusco, Central, Ghana",9.055091910420254,2.7528995802104106,9.733033814156089,7.744856031197909,46.738733544792545,154.26462864337,308,Hazardous,Station 1,Rural,Active
2023-01-23,"Pedu, Central, Ghana",436.06195447207574,3.8320163246126637,197.61529161810665,1.3443342736955,28.557961623863637,168.28795199124895,257,Very Unhealthy,Station 3,Suburban,Active
2023-01-24,"Bakaano, Central, Ghana",466.0591412418062,109.53440455092888,159.68756278543634,4.677206159711509,96.16114422544469,123.53891723771817,343,Hazardous,Station 2,Rural,Active
2023-01-25,"Augusco, Central, Ghana",282.56659179460445,18.360681250410572,30.979502662514523,6.05896815179483,31.284462800566814,128.88463392596333,491,Hazardous,Station 2,Rural,Active
2023-01-26,"Pedu, Central, Ghana",348.3254119384461,54.01287706534569,51.75716308390862,4.283518005688462,9.804453811093982,5.667490076676929,413,Hazardous,Station 2,Rural,Active
2023-01-27,"Bakaano, Central, Ghana",461.24969058864787,169.4303246693758,170.39228919482414,0.27106652336233106,52.68171660504134,165.7060519163017,293,Very Unhealthy,Station 1,Rural,Active
2023-01-28,"Bakaano, Central, Ghana",353.6193171566993,401.29283978990645,88.90728405398652,7.8350150258790885,5.7099078445176366,157.65504163416594,385,Hazardous,Station 1,Suburban,Active
2023-01-29,"Augusco, Central, Ghana",76.26952145713068,286.02432168465043,281.49471859539483,0.10513224541653488,11.054316630858052,51.80702882066943,191,Unhealthy,Station 2,Suburban,Active
2023-01-30,"Pedu, Central, Ghana",288.1441800834066,256.33386297820823,245.62206884521524,7.61889894377484,21.93893891962463,141.7353439931014,443,Hazardous,Station 3,Suburban,Active
2023-01-31,"Augusco, Central, Ghana",303.35752319142796,146.74441160406082,295.0701619540989,8.933044937881228,46.43502498821417,42.97092128499962,276,Very Unhealthy,Station 1,Rural,Active
2023-02-01,"Augusco, Central, Ghana",212.065335651193,465.8768597164082,77.9012516851242,4.328399210571723,43.32509323090279,8.066032210302598,160,Unhealthy,Station 3,Rural,Active
2023-02-02,"Pedu, Central, Ghana",368.22211781236143,198.50752061859583,290.9170898393931,5.355424730977982,79.96918620027913,40.22730851807545,459,Hazardous,Station 2,Rural,Active
2023-02-03,"Augusco, Central, Ghana",467.18350738450744,43.54638339788575,129.37016093746735,4.7698339261765375,73.94746538841133,35.7257753508599,313,Hazardous,Station 1,Rural,Active
2023-02-04,"Pedu, Central, Ghana",462.78425645338814,308.5332580589006,104.25563859412638,3.892086186234388,42.63182939907013,67.54959934696944,21,Good,Station 3,Suburban,Active
2023-02-05,"Pedu, Central, Ghana",225.41968570206606,56.919196738300705,15.104858090805973,8.874245353703603,33.37042075756299,83.68989943509162,252,Very Unhealthy,Station 2,Suburban,Active
2023-02-06,"Augusco, Central, Ghana",56.619022920377624,172.61157140084603,15.829577357880787,8.939335106699906,31.64687840614986,101.70777829954159,235,Very Unhealthy,Station 3,Rural,Active
2023-02-07,"Pedu, Central, Ghana",492.4205994811673,253.70596935890444,207.6033767839964,3.3581636464153455,77.3995087294009,95.35077510166563,344,Hazardous,Station 2,Rural,Active
2023-02-08,"Augusco, Central, Ghana",419.4490432229671,437.1112623425879,137.37869833020838,6.15069754014698,5.2072406221269745,54.13492119305787,48,Good,Station 1,Rural,Active
2023-02-09,"Pedu, Central, Ghana",62.33134060163342,246.77329017005934,67.95648781083172,9.269075621458642,1.2821649510605826,5.834133714814893,474,Hazardous,Station 3,Rural,Active
2023-02-10,"Augusco, Central, Ghana",460.42094130868617,351.1293830158321,184.1910918975698,9.620584989413516,79.5544391926648,121.02032444743014,58,Moderate,Station 3,Suburban,Active
2023-02-11,"Bakaano, Central, Ghana",434.94818103106417,496.40841949953517,75.85743547503336,5.089590404220475,47.71463759890493,79.14896596947088,169,Unhealthy,Station 1,Suburban,Active
2023-02-12,"Bakaano, Central, Ghana",259.4190285630361,65.74455994899081,173.28952630332677,4.528248052843268,13.088113855357598,59.73443147750994,475,Hazardous,Station 2,Rural,Active
2023-02-13,"Bakaano, Central, Ghana",295.63771787246463,137.36576275975975,107.76262409480711,2.786943159285258,23.556593459450127,173.38820856610246,187,Unhealthy,Station 1,Rural,Active
2023-02-14,"Bakaano, Central, Ghana",199.50135193506512,197.2880377988232,247.06566798354572,9.5887187319041,93.25039530973825,149.34866155963195,463,Hazardous,Station 2,Rural,Active
2023-02-15,"Bakaano, Central, Ghana",27.380819411015665,210.91408926941568,246.2088482300338,1.4281430447286736,85.9502975624898,171.55310967448844,270,Very Unhealthy,Station 3,Rural,Active
2023-02-16,"Bakaano, Central, Ghana",167.59862082295047,205.5105376327729,143.2051194367204,5.7982957604772505,70.97850502239726,98.9965589424922,189,Unhealthy,Station 3,Rural,Active
2023-02-17,"Bakaano, Central, Ghana",401.42672429900574,453.80550127827746,105.24573280050468,2.8255026751863888,48.22252303373266,26.186250425355496,445,Hazardous,Station 3,Suburban,Active
2023-02-18,"Pedu, Central, Ghana",2.3160115023014294,357.01632223342824,108.76793896772836,2.790082903477966,52.032362619138574,139.2442872242545,174,Unhealthy,Station 3,Rural,Active
2023-02-19,"Pedu, Central, Ghana",166.74958584557208,303.9526070453519,241.71435770046537,4.049685873761884,97.52445352839587,41.21475598743505,445,Hazardous,Station 2,Rural,Active
2023-02-20,"Pedu, Central, Ghana",199.08434679547165,154.68635893139106,98.4538448392836,9.987929358156546,96.57704438842872,88.24593381834336,50,Good,Station 3,Rural,Active
2023-02-21,"Bakaano, Central, Ghana",268.6978014689614,411.8951921106474,62.71781211205381,0.5496630683982207,21.526904578583427,13.000157789777699,363,Hazardous,Station 2,Suburban,Active
2023-02-22,"Bakaano, Central, Ghana",459.92780820638023,477.5302557424945,25.40650256259205,5.785418182035315,81.11045663053181,165.06168048459648,54,Moderate,Station 1,Rural,Active
2023-02-23,"Augusco, Central, Ghana",173.17299718298062,410.59914127511325,140.0079362653225,0.8257215803527718,19.72426661670168,25.188128209500114,243,Very Unhealthy,Station 1,Suburban,Active
2023-02-24,"Pedu, Central, Ghana",173.47660094811386,0.7825525957364521,144.63962967595256,1.5452082999051897,21.35374778839514,180.61950140986193,319,Hazardous,Station 1,Rural,Active
2023-02-25,"Pedu, Central, Ghana",368.7506240548742,318.2006850917035,252.27261312087214,4.395629417728987,67.60930341645768,172.84612045231142,130,Unhealthy for Sensitive Groups,Station 3,Suburban,Active
2023-02-26,"Bakaano, Central, Ghana",226.10897044490358,25.56769072105036,66.37160893381919,5.104601313464413,40.50010985875484,92.9165528878492,484,Hazardous,Station 1,Rural,Active
2023-02-27,"Augusco, Central, Ghana",112.30241146999099,128.80361016686092,114.29738210051997,2.58792408364524,93.15444071065203,148.87364086079813,306,Hazardous,Station 2,Rural,Active
2023-02-28,"Bakaano, Central, Ghana",226.21975806634669,29.762350173885842,242.5217216681073,3.164571308744162,8.900973489600883,123.88901476363066,134,Unhealthy for Sensitive Groups,Station 2,Rural,Active
2023-03-01,"Pedu, Central, Ghana",70.42851018989992,301.89772647469385,247.08708322469204,0.8696702025593306,51.152564080949304,160.61512846754897,20,Good,Station 3,Rural,Active
2023-03-02,"Augusco, Central, Ghana",88.19349325311165,343.2949567463034,115.38332279363046,3.0321978384425052,91.85215304431212,86.36102015718241,328,Hazardous,Station 2,Rural,Active
2023-03-03,"Pedu, Central, Ghana",249.18388636973987,57.24381903295256,137.73720698600428,9.66558439380544,90.41136604795051,157.16169684887,166,Unhealthy,Station 2,Rural,Active
